,song_artist
582,OMI - Cheerleader (Felix Jaehn Remix)
583,The Tide Is High - Blondie
584,Sleep Walk - Santo & Johnny
585,Lay Down Sally - Eric Clapton
586,"Leaving on a Jet Plane - Peter, Paul & Mary"
587,Maniac - Michael Sembello
588,Kelly Clarkson - Stronger (What Doesn't Kill You)
589,I Can See Clearly Now - Johnny Nash
590,Shelley Fabares - Johnny Angel
591,Mark Morrison - Return of the Mack
592,Amazed - Lonestar
593,Too Much Heaven - Bee Gees
594,Smack That - Akon
595,The Tears of a Clown - Smokey Robinson & the Miracles
596,Love Song - Sara Bareilles
597,She Ain't Worth It - Glenn Medeiros Ft. Bobby Brown
598,Being With You - Smokey Robinson
599,What Do You Mean? - Justin Bieber
600,Papa Don't Preach - Madonna
601,Everybody's Somebody's Fool - Connie Francis
602,Wannabe - Spice Girls
603,Love Machine - The Miracles
604,Let's Dance - David Bowie
605,"Just the Two of Us - Grover Washington, Jr."
606,Boogie Fever - The Sylvers
607,Where Did Our Love Go? - The Supremes
608,Could've Been - Tiffany
609,Nice for What - Drake
610,Nick Gilder - Hot Child in the City
611,Always - Bon Jovi
612,Bob Seger - Shakedown
613,Right Back Where We Started From - Maxine Nightingale
614,Time in a Bottle - Jim Croce
615,Petula Clark - Downtown
616,You Make Me Feel Like Dancing - Leo Sayer
617,Elegants - Little Star
618,Bobby Vinton - Blue Velvet
619,"Wild, Wild West - The Escape Club"
620,Start Me Up - The Rolling Stones
621,Bent - Matchbox Twenty
622,Meant to Be - Bebe Rexha Ft. Florida Georgia Line
623,Take on Me - A-Ha
624,Bubbly - Colbie Caillat
625,Breathe Again - Toni Braxton
626,Right Round - Flo Rida
627,You Make Me Feel Brand New - The Stylistics
628,Come See About Me - The Supremes
629,Cradle of Love - Billy Idol
630,Rockin' Robin - Bobby Day
631,Love's Theme - Love Unlimited Orchestra
632,My Boyfriend's Back - The Angels
633,Man in the Mirror - Michael Jackson
634,Show and Tell - Al Wilson
635,Didn't We Almost Have It All - Whitney Houston
636,Family Affair - Sly & the Family Stone
637,Timber - Pitbull Feat. Ke$Ha
638,Ice Ice Baby - Vanilla Ice
639,It Wasn't Me - Shaggy
640,All Out of Love - Air Supply
641,Two Hearts - Phil Collins
642,Soldier Boy - The Shirelles
643,Private Eyes - Daryl Hall & John Oates
644,If You Had My Love - Jennifer Lopez
645,Wake Me Up Before You Go-Go - Wham!
646,Always on Time - Ja Rule Feat. Ashanti
647,I Think We're Alone Now - Tiffany
648,West End Girls - Pet Shop Boys
649,Romantic - Karyn White
650,Take Me to Church - Hozier
651,Hotline Bling- Drake
652,Informer - Snow
653,Love So Right - Bee Gees
654,I Believe I Can Fly - R. Kelly
655,I Don't Have the Heart - James Ingram
656,Talk - Khalid
657,Complicated - Avril Lavigne
658,Wind Beneath My Wings - Bette Midler
659,My Humps - Black Eyed Peas
660,Don't Wanna Lose You - Gloria Estefan
661,Heathens - Twenty One Pilots
662,Love Is Alive - Gary Wright
663,Love in This Club - Usher Ft. Young Jeezy
664,50 Ways to Leave Your Lover - Paul Simon
